Market,Period,Product,$2,B$2,AP.$2,U2,BU2,AP.U2,E21,BE2,AP.E21,%A1,%$.AP,PRC.E,PRC.BE,ACHY.$,ACHY.U,ACHY.E,%$.AP.YA,ACYAG.PRCE,ACYAG.PRCBE,ACHY.B$,ACHY.AP$,ACHY.BU,ACHY.APU,ACHY.BE,ACHY.E,ACHY.APE,%A1.AY
US.CX,NOV0417.1,NS.083309,8950223,6336468,4106228,1347946,750857,736884,81971769,52741705,42350496,94,45.88,0.11,0.12,-32288,40871,-65675,3.01,0,0,-550292,255741,-41784,66511,-5260597,-65675,1565948,5
US.CX,NOV1117.1,NS.083309,7413815,6463768,2587646,932328,765254,314943,66906497,53852161,27835258,89,34.9,0.11,0.12,-311473,-12148,-1566686,-2.01,0,0,-668713,-263863,-40795,-22256,-6624520,-1566686,-1973450,1
US.CX,OCT2117.1,NS.158673,3067669,2549065,1879533,305777,225459,195517,16440953,12507534,10918899,76,61.27,0.19,0.2,937735,97126,5980726,50.13,-0.02,0,618622,1642259,53283,156056,3161297,5980726,9653923,12
US.CX,OCT2817.1,NS.158673,4534291,2535306,3022038,587125,224712,438666,23009548,12515121,15742111,79,66.65,0.2,0.2,1934083,302072,9840252,37.31,0,0,644339,2259275,56463,315808,3349829,9840252,11566421,11
US.CX,NOV0417.1,NS.158673,3474120,2533475,1733617,368487,230278,210058,18004125,12752064,9375599,74,49.9,0.19,0.2,1255767,155141,7042490,30.47,-0.01,-0.01,655163,1302522,62334,154154,3649737,7042490,7205653,11
US.CX,NOV1117.1,NS.158673,3273851,2551829,1001690,342348,233413,133154,17177006,12861311,5575006,74,30.6,0.19,0.2,1120944,133133,6515835,13.39,-0.01,-0.01,678055,631262,68168,82073,3781383,6515835,3628754,12
US.CX,OCT2117.1,NS.122345,28564626,26748163,6916862,2373552,2166612,615516,134202431,125058037,34781128,97,24.21,0.21,0.21,-221507,-56687,-1493095,-4.09,0,0,1315770,-1230673,63323,-100719,6579935,-1493095,-5351532,0
US.CX,OCT2817.1,NS.122345,29855707,26737577,11606928,2546603,2161648,1036517,144100402,124652213,61029237,97,38.88,0.21,0.21,85927,26078,5164491,0.52,-0.01,0,1261467,188975,66404,58770,6984343,5164491,3835626,0
US.CX,NOV0417.1,NS.122345,33277969,26827168,14484302,2976041,2166685,1412688,163464181,125106747,77213875,98,43.53,0.2,0.21,-345258,-77962,4721747,-1.25,-0.01,0,1022236,-570192,75862,-109802,7359563,4721747,2067441,0
US.CX,NOV1117.1,NS.122345,31977545,26858077,14314962,2752921,2168230,1272302,157830131,125098930,75932368,97,44.77,0.2,0.21,-535807,-72916,3414255,-2.62,-0.01,0,800131,-1091903,66100,-105184,6368430,3414255,-1348474,0
US.CX,OCT2117.1,NS.081495,10157445,5676712,6024113,2635539,938415,1891539,93670078,47861109,60228379,88,59.31,0.11,0.12,2606975,1000226,25279332,-11.06,0,0,296897,711259,40472,723567,3897321,25279332,9021162,2
US.CX,OCT2817.1,NS.081495,7090411,5717217,3847515,1516708,951066,977492,64634386,48308767,36143299,86,54.26,0.11,0.12,-178540,72701,-2143089,-17.08,0,0,260680,-1338533,47670,-44481,3767459,-2143089,-14236716,1
